system:index,LST,NDBI,NDVI,albedo,bare,bheight,builtup,dist_water,.geo
14371,44.79192765680019,0.091186956,0.21485715,0.15878665177162843,0.030000000000036397,14.921254,0.41547492,2262.741699796952,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2689612854228,13.084095369778382]}"
14372,44.23096221439985,0.08636075,0.15942088,0.16121337438482994,0.0,20.332106,0.37375355,2193.171219946131,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26988367892552,13.084097979944369]}"
14373,43.146885901100426,-0.09427906,0.39690316,0.14259137721454954,0.0,23.46646,0.30049273,2126.02916254693,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27080607262833,13.084100586815564]}"
14374,43.088335218500845,-0.021730071,0.32464892,0.16677976753199558,0.0,22.207138,0.27022022,2061.5528128088304,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27172846653099,13.084103190391966]}"
14375,43.29797947520066,-0.06711682,0.37066203,0.15410293581449647,0.0,18.48773,0.28685555,2000.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27265086063319,13.084105790673572]}"
14376,43.59057907730025,0.018764399,0.30241325,0.16658656027312166,0.0,15.066781,0.33201498,1941.6487838947598,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27357325493473,13.084108387660377]}"
14377,44.08856750119953,-0.05046897,0.3399048,0.159788014603814,0.0,12.384818,0.40166107,1886.7962264113207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27449564943534,13.084110981352378]}"
14378,44.405776847298796,0.08727146,0.24228066,0.1763235123399982,0.0,10.606788,0.4473734,1835.7559750685818,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27541804413477,13.084113571749572]}"
14379,44.1434267222002,0.064405054,0.20765834,0.14489400174704511,0.0,11.346628,0.41073105,1788.8543819998317,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27634043903277,13.084116158851955]}"
14380,43.83811208570072,0.0876786,0.1739152,0.1589539655880967,0.0,14.026203,0.4521836,1746.4249196572978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27726283412908,13.084118742659525]}"
14381,44.262835250900515,0.0937373,0.16562784,0.165287244549742,0.0,16.006214,0.5576664,1708.8007490635061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27818522942344,13.084121323172278]}"
14382,43.13053067540146,0.0049642557,0.29446697,0.13941662401575708,0.0,15.957984,0.3968299,1676.3054614240211,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27910762491561,13.08412390039021]}"
14383,41.685682351100574,-0.036918912,0.3753502,0.158213074311043,0.0,14.550261,0.263973,1612.4515496597098,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.28003002060534,13.08412647431332]}"
14384,41.362423109599725,-0.11333077,0.45046237,0.1395961306717499,0.0,12.912102,0.3129995,1513.2745950421556,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.28095241649237,13.084129044941603]}"
14385,41.71147131199833,-0.048766226,0.38813034,0.1456558437746388,0.0,11.449175,0.27456483,1414.213562373095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.28187481257645,13.084131612275055]}"
14386,42.542870496799694,-0.015898744,0.3047965,0.12089855275589606,0.0,10.316822,0.27475068,1315.2946437965904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.28279720885733,13.084134176313675]}"
14387,40.831211531301406,-0.11275091,0.47954032,0.1363589853592397,0.0,10.2679405,0.16594397,1216.552506059644,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.28371960533475,13.08413673705746]}"
14388,39.10620519770176,-0.14148441,0.52613205,0.14516033193898417,0.0,11.911374,0.14576858,1118.033988749895,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.28464200200845,13.084139294506402]}"
14389,38.80958942210221,-0.1176857,0.47783116,0.1430007802165613,0.07999999999976357,13.717571,0.18479286,1019.8039027185569,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.28556439887821,13.084141848660503]}"
14390,38.97297077810243,-0.15134218,0.5575941,0.14424079324559683,0.0,14.084146,0.15012561,921.9544457292888,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.28648679594373,13.084144399519756]}"
14391,40.57925218700217,-0.05260187,0.3841329,0.14987525511810781,0.0,13.220877,0.22678453,824.6211251235321,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.28740919320481,13.084146947084161]}"
14392,41.24110048970176,-0.07443963,0.23063083,0.20879990137806603,0.0,14.008143,0.29613367,728.0109889280518,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.28833159066116,13.084149491353713]}"
14393,41.542980016100294,-0.041791495,0.29338923,0.13399029735484752,0.0,18.217426,0.30256045,632.4555320336759,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.28925398831254,13.08415203232841]}"
14394,41.610622631899666,-0.009555412,0.29738253,0.1415852750984452,0.0,23.701347,0.2946876,538.5164807134504,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.29017638615869,13.084154570008247]}"
14395,42.47139969859952,-0.03040143,0.28069165,0.12802529184301342,0.0,25.478285,0.4263109,447.21359549995793,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.29109878419935,13.08415710439322]}"
14396,43.853544446000086,0.046206597,0.10293785,0.1361475241633962,0.009999999999981815,20.779459,0.6124803,360.5551275463989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2920211824343,13.08415963548333]}"
14397,43.97211555980034,0.057832118,0.08396086,0.1461755270546352,0.2100000000002547,13.142275,0.42744538,282.842712474619,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.29294358086325,13.08416216327857]}"
14398,43.87309552040058,0.069112234,0.09389111,0.16098388918553003,0.30000000000000016,8.938818,0.21075702,223.60679774997897,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.29386597948599,13.084164687778939]}"
14399,43.28454665660087,0.058303863,0.119574025,0.15602069189221343,0.010000000000072765,10.933454,0.35070747,200.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.29478837830221,13.084167208984432]}"
14400,43.11133849310077,0.07656174,0.11615817,0.17107861760581247,0.04000000000001821,13.360085,0.34197783,223.60679774997897,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.29571077731171,13.084169726895045]}"
14401,42.47891934260122,0.08989702,0.114122316,0.15497630346952818,0.0,11.502064,0.29613298,141.4213562373095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2966331765142,13.084172241510778]}"
14402,38.65594942310438,0.019706232,0.051052883,0.13012922319149423,0.1999999999999091,5.2173996,0.14410716,100.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.29755557590946,13.084174752831625]}"
14403,43.347882567198965,-0.02731829,0.3298877,0.15675761299209987,0.0,11.957421,0.2519171,4248.5291572496,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.18225424521019,13.08473947657617]}"
14404,43.69499958829912,0.005013134,0.2745749,0.16713635970717178,0.0,10.316232,0.41892904,4205.948168962618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.18317662213778,13.084742396645781]}"
14405,44.52000707569923,0.014238885,0.2512315,0.16958881011320123,0.0,8.697259,0.45476326,4118.2520563948,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1840989992892,13.084745313420699]}"
14406,44.78066528089975,0.05132178,0.21642195,0.16343131502213903,0.0,9.592673,0.45872253,4031.1288741492745,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.18502137666422,13.084748226900915]}"
14407,44.66922073879941,0.034597714,0.25227335,0.1638004968380996,0.0,12.829983,0.48499328,3944.6165846632043,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.18594375426258,13.084751137086428]}"
14408,44.62165899049939,0.053207602,0.20397274,0.16512299985235993,0.0,15.533792,0.46892294,3858.7562763149476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.186866132084,13.084754043977235]}"
14409,45.09881458249957,0.06819612,0.18240486,0.16152745578249,0.0,15.013591,0.47906968,3773.5924528226415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.18778851012827,13.084756947573329]}"
14410,45.10122428660013,0.051647972,0.2091786,0.16452463409202428,0.0,11.579671,0.5950442,3689.173349139343,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.18871088839511,13.08475984787471]}"
14411,45.275850928400224,0.063590705,0.19961058,0.17676212258858262,0.0,8.310835,0.6180493,3605.5512754639894,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.18963326688426,13.084762744881372]}"
14412,44.52716782760084,0.0073851356,0.25293148,0.15270374488189378,0.0,7.4305515,0.49374282,3522.782990761707,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1905556455955,13.08476563859331]}"
14413,42.81337259960038,0.01783869,0.26428053,0.16283430450295638,0.0,8.200013,0.504757,3440.9301068170507,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19147802452855,13.084768529010526]}"
14414,42.12354780320071,-0.04048992,0.33129483,0.16570989613681497,0.0,9.015251,0.46729106,3360.0595232822884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19240040368315,13.084771416133012]}"
14415,42.674207915300265,-0.00495034,0.2834628,0.16600808694635927,0.0,9.924731,0.47179705,3280.243893371345,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19332278305907,13.084774299960765]}"
14416,44.53273920020055,0.0012345597,0.27637056,0.16396351878691298,0.0,10.747412,0.50509393,3201.5621187164243,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19424516265606,13.08477718049378]}"
14417,44.05462656260107,-0.014699923,0.30487606,0.16006096902067035,0.0,11.019961,0.43095922,3124.0998703626615,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19516754247385,13.084780057732056]}"
14418,43.35018973070046,-0.12329713,0.46891865,0.1469967597441055,0.0,10.713554,0.36845624,3047.950130825634,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19608992251219,13.084782931675587]}"
14419,44.49261164539958,0.0017870193,0.31990254,0.15646019534940822,0.0,10.363893,0.45806262,2973.2137494637013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19701230277083,13.08478580232437]}"
14420,45.51213865099987,0.056008305,0.2153441,0.14190511363189823,0.0,10.380508,0.47948802,2900.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19793468324953,13.084788669678405]}"
14421,44.8976128352004,-0.013622416,0.2865055,0.14490711892224034,0.0,10.72265,0.36770123,2828.42712474619,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19885706394803,13.084791533737683]}"
14422,44.50549758080026,0.017164297,0.2520323,0.15549739247046965,0.0,11.335237,0.5602566,2758.6228448267443,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19977944486605,13.084794394502202]}"
14423,44.084260796001104,-0.026632644,0.27884683,0.16661251542813346,0.0,12.377737,0.47001866,2690.724809414742,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20070182600338,13.08479725197196]}"
14424,43.544675068701146,-0.068459965,0.35268065,0.1531086668183966,0.0,13.580178,0.36895344,2624.8809496813374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20162420735974,13.08480010614695]}"
14425,43.28668291910084,-0.031631015,0.2389221,0.14503365059053477,0.04000000000001821,14.173416,0.5638891,2561.2496949731394,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2025465889349,13.084802957027174]}"
14426,42.86365167380073,-0.042313516,0.29780006,0.16606837365892826,0.0,13.854699,0.574202,2500.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20346897072858,13.084805804612623]}"
14427,43.34104652720101,-0.06380976,0.3369464,0.1566305939837258,0.0,13.18862,0.4790575,2441.3111231467406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20439135274054,13.084808648903296]}"
14428,43.00860990200126,-0.0467264,0.31752726,0.16085775621306841,0.0,12.428301,0.4577609,2385.3720883753126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20531373497053,13.084811489899188]}"
14429,43.214255075300585,-0.01910191,0.2596984,0.16983937679623246,0.0,11.6640005,0.4853051,2332.3807579381205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2062361174183,13.084814327600297]}"
14430,43.086831289701266,-0.06881324,0.33557564,0.14912995071354404,0.03000000000012735,11.173584,0.4915223,2282.5424421026655,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20715850008358,13.084817162006617]}"
14431,43.15471316690125,-0.016669028,0.26701,0.139835614259319,0.009999999999981815,11.236496,0.48716012,2236.06797749979,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20808088296613,13.084819993118147]}"
14432,43.44403146980129,-0.0111297015,0.24864025,0.146738040772597,0.0,11.82179,0.46876228,2193.171219946131,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20900326606571,13.084822820934884]}"
14433,42.55760216300106,-0.045176547,0.2773133,0.14386638304623242,0.07999999999976358,12.726531,0.37017137,2154.0659228538016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20992564938204,13.084825645456819]}"
14434,41.82035233910036,-0.043617673,0.30646598,0.14882564413135094,0.0,14.058107,0.347132,2118.962010041709,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2108480329149,13.084828466683957]}"
